OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517682781&a=215431&m=6716,2014-15 Liverpool GK Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-gk-purp-tags_1.jpg,17.99,classic football shirts,0,Liverpool,shirt,2014,77
http://www.awin1.com/pclick.php?p=3517683369&a=215431&m=6716,2014-15 Stoke City Home L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-14-home-tags-ls.jpg,12.99,classic football shirts,0,Stoke City,shirt,2014,78
http://www.awin1.com/pclick.php?p=3517683793&a=215431&m=6716,2010-11 Liverpool Euro Training Shirt *BNIB* XL/XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-10-train-black-euro-tags_1.jpg,9.99,classic football shirts,0,Liverpool,shirt,2010,79
http://www.awin1.com/pclick.php?p=3517683887&a=215431&m=6716,2013-14 Manchester City Player Issue Away Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-13-away-pi-tags_4.jpg,34.99,classic football shirts,0,Manchester City,shirt,2013,80
http://www.awin1.com/pclick.php?p=3517684069&a=215431&m=6716,2015-16 Sunderland Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/u/sunderland-15-away-ns-tags.jpg,19.99,classic football shirts,0,Sunderland,shirt,2015,81
http://www.awin1.com/pclick.php?p=3517684071&a=215431&m=6716,2014-15 Sunderland Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/u/sunderland-14-home-ns-tags.jpg,17.99,classic football shirts,0,Sunderland,shirt,2014,82
http://www.awin1.com/pclick.php?p=3517684193&a=215431&m=6716,2014-15 Chelsea Adizero Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-train-blue-tags_4_1.jpg,17.99,classic football shirts,0,Chelsea,shirt,2014,83
http://www.awin1.com/pclick.php?p=3517684195&a=215431&m=6716,2014-15 Chelsea Adidas Champions League Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-train-cl-yell-tags_1.jpg,17.99,classic football shirts,0,Chelsea,shirt,2014,84
http://www.awin1.com/pclick.php?p=3517684287&a=215431&m=6716,2014-15 Chelsea Adizero Training Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-train-navy-tags_1_2.jpg,16.99,classic football shirts,0,Chelsea,shirt,2014,85
http://www.awin1.com/pclick.php?p=3517684289&a=215431&m=6716,2014-15 Chelsea Adidas Champions League Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-train-cl-blue-tags_5_1_3.jpg,16.99,classic football shirts,0,Chelsea,shirt,2014,86
http://www.awin1.com/pclick.php?p=3517684295&a=215431&m=6716,2014-15 Chelsea Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-14-home-tags2_1_1_1_1_1_5.jpg,22.99,classic football shirts,0,Chelsea,shirt,2014,87
http://www.awin1.com/pclick.php?p=3517684325&a=215431&m=6716,2013-14 Liverpool Warrior Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-13-train-blk-tags_2_1.jpg,15.99,classic football shirts,0,Liverpool,shirt,2013,88
http://www.awin1.com/pclick.php?p=3517684331&a=215431&m=6716,2014-15 Liverpool GK Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-gk-purp-tags-ss.jpg,14.99,classic football shirts,0,Liverpool,shirt,2014,89
http://www.awin1.com/pclick.php?p=3517684333&a=215431&m=6716,2012-13 Liverpool Third Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-third-tags_1_1_2.jpg,17.99,classic football shirts,0,Liverpool,shirt,2012,90
http://www.awin1.com/pclick.php?p=3517684335&a=215431&m=6716,2012-13 Liverpool Yellow GK Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-gk-yel-tags_2_2.jpg,9.99,classic football shirts,0,Liverpool,shirt,2012,91
http://www.awin1.com/pclick.php?p=3517684383&a=215431&m=6716,2011-12 Stoke City Home Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-11-home-tags_8.jpg,9.99,classic football shirts,0,Stoke City,shirt,2011,92
http://www.awin1.com/pclick.php?p=3517684389&a=215431&m=6716,2011-12 Stoke City L/S European Third Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-10-away-tags-ls_6_3.jpg,7.99,classic football shirts,0,Stoke City,shirt,2011,93
http://www.awin1.com/pclick.php?p=3517684391&a=215431&m=6716,2011-12 Stoke City Away Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-11-away-tags_1_2.jpg,7.99,classic football shirts,0,Stoke City,shirt,2011,94
http://www.awin1.com/pclick.php?p=3517684395&a=215431&m=6716,2010-11 Stoke City Player Issue Third GK Shirt *BNIB* XL,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-10-gk-blue-tags_2.jpg,8.99,classic football shirts,0,Stoke City,shirt,2010,95
http://www.awin1.com/pclick.php?p=3517684397&a=215431&m=6716,2010-11 Stoke City Black GK Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-10-gk-black-tags_1.jpg,9.99,classic football shirts,0,Stoke City,shirt,2010,96
http://www.awin1.com/pclick.php?p=3517684399&a=215431&m=6716,2010-11 Stoke City Yellow GK Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/s/t/stoke-10-gk-yellow-tags_4_1_1.jpg,8.99,classic football shirts,0,Stoke City,shirt,2010,97
